date_code,archive_url,file_name
201001,,
201002,,
201003,,
201004,,
201005,,
201006,http://web.archive.org/web/20100613221744/http://store.steampowered.com:80/hwsurvey/?platform=pc,20100613221744.txt
201007,http://web.archive.org/web/20100721115922/http://store.steampowered.com:80/hwsurvey/?platform=pc,20100721115922.txt
201008,http://web.archive.org/web/20100820162754/http://store.steampowered.com:80/hwsurvey/?platform=pc,20100820162754.txt
201009,,
201010,http://web.archive.org/web/20101004174837/http://store.steampowered.com:80/hwsurvey?platform=pc,20101004174837.txt
201011,,
201012,http://web.archive.org/web/20101205064427/http://store.steampowered.com:80/hwsurvey?platform=pc,20101205064427.txt
201101,http://web.archive.org/web/20110107090212/http://store.steampowered.com:80/hwsurvey?platform=pc,20110107090212.txt
201102,,
201103,,
201104,,
201105,,
201106,,
201107,,
201108,http://web.archive.org/web/20110813022242/http://store.steampowered.com/hwsurvey/?platform=pc,20110813022242.txt
201109,http://web.archive.org/web/20110906075610/http://store.steampowered.com:80/hwsurvey?platform=pc,20110906075610.txt
201110,http://web.archive.org/web/20111018230237/http://store.steampowered.com/hwsurvey/?platform=pc,20111018230237.txt
201111,,
201112,http://web.archive.org/web/20111210064014/http://store.steampowered.com/hwsurvey?platform=pc,20111210064014.txt
201201,http://web.archive.org/web/20120118022835/http://store.steampowered.com/hwsurvey?platform=pc,20120118022835.txt
201202,http://web.archive.org/web/20120208210013/http://store.steampowered.com:80/hwsurvey/?platform=pc,20120208210013.txt
201203,,
201204,,
201205,http://web.archive.org/web/20120509091344/http://store.steampowered.com:80/hwsurvey/?platform=pc,20120509091344.txt
201206,http://web.archive.org/web/20120609000745/http://store.steampowered.com:80/hwsurvey/?platform=pc,20120609000745.txt
201207,http://web.archive.org/web/20120710010345/http://store.steampowered.com:80/hwsurvey/?platform=pc,20120710010345.txt
201208,http://web.archive.org/web/20120819092936/http://store.steampowered.com:80/hwsurvey/?platform=pc,20120819092936.txt
201209,http://web.archive.org/web/20120916091448/http://store.steampowered.com:80/hwsurvey?platform=pc,20120916091448.txt
201210,http://web.archive.org/web/20121015151114/http://store.steampowered.com/hwsurvey/?platform=pc,20121015151114.txt
201211,http://web.archive.org/web/20121117005120/http://store.steampowered.com:80/hwsurvey?platform=pc,20121117005120.txt
201212,http://web.archive.org/web/20121215003135/http://store.steampowered.com:80/hwsurvey?platform=pc,20121215003135.txt
201301,http://web.archive.org/web/20130116064748/http://store.steampowered.com/hwsurvey/?platform=pc,20130116064748.txt
201302,http://web.archive.org/web/20130216084400/http://store.steampowered.com:80/hwsurvey?platform=pc,20130216084400.txt
201303,http://web.archive.org/web/20130319080818/http://store.steampowered.com:80/hwsurvey?platform=pc,20130319080818.txt
201304,http://web.archive.org/web/20130421060804/http://store.steampowered.com:80/hwsurvey?platform=pc,20130421060804.txt
201305,http://web.archive.org/web/20130522054007/http://store.steampowered.com:80/hwsurvey?platform=pc,20130522054007.txt
201306,http://web.archive.org/web/20130619043458/http://store.steampowered.com/hwsurvey?platform=pc,20130619043458.txt
201307,http://web.archive.org/web/20130705133056/http://store.steampowered.com:80/hwsurvey/?platform=pc,20130705133056.txt
201308,http://web.archive.org/web/20130806054616/http://store.steampowered.com:80/hwsurvey/?platform=pc,20130806054616.txt
201309,http://web.archive.org/web/20130906192355/http://store.steampowered.com:80/hwsurvey/?platform=pc,20130906192355.txt
201310,http://web.archive.org/web/20131016113509/http://store.steampowered.com/hwsurvey/?platform=pc,20131016113509.txt
201311,http://web.archive.org/web/20131110145335/http://store.steampowered.com:80/hwsurvey/?platform=pc,20131110145335.txt
201312,http://web.archive.org/web/20131213202026/http://store.steampowered.com:80/hwsurvey/?platform=pc,20131213202026.txt
201401,http://web.archive.org/web/20140113140709/http://store.steampowered.com:80/hwsurvey/?platform=pc,20140113140709.txt
201402,http://web.archive.org/web/20140216013824/http://store.steampowered.com:80/hwsurvey/?platform=pc,20140216013824.txt
201403,http://web.archive.org/web/20140318083854/http://store.steampowered.com:80/hwsurvey/?platform=pc,20140318083854.txt
201404,http://web.archive.org/web/20140418170913/http://store.steampowered.com:80/hwsurvey/?platform=pc,20140418170913.txt
201405,http://web.archive.org/web/20140519104332/http://store.steampowered.com:80/hwsurvey/?platform=pc,20140519104332.txt
201406,http://web.archive.org/web/20140619101553/http://store.steampowered.com:80/hwsurvey/?platform=pc,20140619101553.txt
201407,http://web.archive.org/web/20140707013801/http://store.steampowered.com/hwsurvey?platform=pc,20140707013801.txt
201408,http://web.archive.org/web/20140809200810/http://store.steampowered.com/hwsurvey/?platform=pc,20140809200810.txt
201409,http://web.archive.org/web/20140905234843/http://store.steampowered.com/hwsurvey?platform=pc,20140905234843.txt
201410,http://web.archive.org/web/20141009072736/http://store.steampowered.com:80/hwsurvey?platform=pc,20141009072736.txt
201411,http://web.archive.org/web/20141105053014/http://store.steampowered.com:80/hwsurvey/?platform=pc,20141105053014.txt
201412,http://web.archive.org/web/20141218153257/http://store.steampowered.com:80/hwsurvey/?platform=pc,20141218153257.txt
201501,http://web.archive.org/web/20150110021006/http://store.steampowered.com:80/hwsurvey?platform=pc,20150110021006.txt
201502,http://web.archive.org/web/20150216094628/http://store.steampowered.com:80/hwsurvey?platform=pc,20150216094628.txt
201503,http://web.archive.org/web/20150316082910/http://store.steampowered.com/hwsurvey?platform=pc,20150316082910.txt
201504,http://web.archive.org/web/20150418090034/http://store.steampowered.com:80/hwsurvey?platform=pc,20150418090034.txt
201505,http://web.archive.org/web/20150519132243/http://store.steampowered.com/hwsurvey?platform=pc,20150519132243.txt
201506,http://web.archive.org/web/20150618183402/http://store.steampowered.com:80/hwsurvey/?platform=pc,20150618183402.txt
201507,http://web.archive.org/web/20150708100156/http://store.steampowered.com:80/hwsurvey/?platform=pc,20150708100156.txt
201508,http://web.archive.org/web/20150810161718/http://store.steampowered.com:80/hwsurvey/?platform=pc,20150810161718.txt
201509,http://web.archive.org/web/20150907141204/http://store.steampowered.com:80/hwsurvey/?platform=pc,20150907141204.txt
201510,http://web.archive.org/web/20151005184030/http://store.steampowered.com:80/hwsurvey/?platform=pc,20151005184030.txt
201511,http://web.archive.org/web/20151118131058/http://store.steampowered.com/hwsurvey/?platform=pc,20151118131058.txt
201512,http://web.archive.org/web/20151211111445/http://store.steampowered.com/hwsurvey/?platform=pc,20151211111445.txt
